jiscode,name,namekana,building,zipcode,address,tel,source,lat,lon,note
1236,北斗市,ほくとし,北斗市役所,049-0192,北斗市中央1-3-10,0138-73-3111,数値地図,41.824143,140.652908,
1303,当別町,とうべつちょう,当別町役場,061-0292,石狩郡当別町白樺町58-9,0133-23-2330,数値地図,43.223821,141.517094,
1304,新篠津村,しんしのつむら,新篠津村役場,068-1192,石狩郡新篠津村第47線北13,0126-57-2111,数値地図,43.225271,141.649305,
1331,松前町,まつまえちょう,松前町役場,049-1592,松前郡松前町字福山248,0139-42-2275,数値地図,41.430033,140.110498,
1332,福島町,ふくしまちょう,福島町役場,049-1392,松前郡福島町字福島820,0139-47-3001,数値地図,41.483613,140.251317,
1333,知内町,しりうちちょう,知内町役場,049-1103,上磯郡知内町字重内21-1,01392-5-6161,数値地図,41.598356,140.418854,
1334,木古内町,きこないちょう,木古内町役場,049-0422,上磯郡木古内町字本町218,01392-2-3131,数値地図,41.678402,140.437626,
1337,七飯町,ななえちょう,七飯町役場,041-1192,亀田郡七飯町本町6丁目1-1,0138-65-2511,数値地図,41.895692,140.694374,
1343,鹿部町,しかべちょう,鹿部町役場,041-1498,茅部郡鹿部町字宮浜299,01372-7-2111,数値地図,42.038598,140.815914,
1345,森町,もりまち,森町役場,049-2393,茅部郡森町字御幸町144-1,01374-2-2181,数値地図,42.104972,140.576481,
1346,八雲町,やくもちょう,八雲町役場,049-3192,二海郡八雲町住初町138,0137-62-2111,数値地図,42.25589,140.26525,
1347,長万部町,おしゃまんべちょう,長万部町役場,049-3592,山越郡長万部町字長万部453-1,01377-2-2000,数値地図,42.514005,140.380866,
1361,江差町,えさしちょう,江差町役場,043-8560,檜山郡江差町字中歌町193-1,0139-52-1020,数値地図,41.869289,140.127616,
1362,上ノ国町,かみのくにちょう,上ノ国町役場,049-0698,檜山郡上ノ国町字大留100,0139-55-2311,数値地図,41.800825,140.120342,
1363,厚沢部町,あっさぶちょう,厚沢部町役場,043-1113,檜山郡厚沢部町新町207,0139-64-3311,数値地図,41.92098,140.225327,
1364,乙部町,おとべちょう,乙部町役場,043-0103,爾志郡乙部町字緑町388,0139-62-2311,数値地図,41.968611,140.135472,
1367,奥尻町,おくしりちょう,奥尻町役場,043-1498,奥尻郡奥尻町字奥尻806,01397-2-3111,数値地図,42.172292,139.514152,
1370,今金町,いまかねちょう,今金町役場,049-4393,瀬棚郡今金町字今金48-1,0137-82-0111,数値地図,42.429363,140.008705,
1371,せたな町,せたなちょう,せたな町役場,049-4592,久遠郡せたな町北檜山区徳島63-1,0137-84-5111,数値地図,42.414861,139.876243,
1391,島牧村,しままきむら,島牧村役場,048-0621,島牧郡島牧村字泊83-1,0136-75-6211,数値地図,42.700498,140.061481,
1392,寿都町,すっつちょう,寿都町役場,048-0406,寿都郡寿都町字渡島町140-1,0136-62-2511,数値地図,42.791053,140.228782,
1393,黒松内町,くろまつないちょう,黒松内町役場,048-0192,寿都郡黒松内町字黒松内302-1,0136-72-3311,数値地図,42.667792,140.307781,
1394,蘭越町,らんこしちょう,蘭越町役場,048-1392,磯谷郡蘭越町蘭越町258-5,0136-57-5111,数値地図,42.809225,140.528367,
1395,ニセコ町,にせこちょう,ニセコ町役場,048-1595,虻田郡ニセコ町字富士見47,0136-44-2121,数値地図,42.804841,140.687548,
1396,真狩村,まっかりむら,真狩村役場,048-1631,虻田郡真狩村字真狩118,0136-45-2121,数値地図,42.763015,140.803541,
1397,留寿都村,るすつむら,留寿都村役場,048-1731,虻田郡留寿都村字留寿都175,0136-46-3131,数値地図,42.73741,140.875619,
1398,喜茂別町,きもべつちょう,喜茂別町役場,044-0292,虻田郡喜茂別町字喜茂別123,0136-33-2211,数値地図,42.795405,140.934611,
1399,京極町,きょうごくちょう,京極町役場,044-0101,虻田郡京極町字京極527,0136-42-2111,数値地図,42.85823,140.884057,
1400,倶知安町,くっちゃんちょう,倶知安町役場,044-0001,虻田郡倶知安町北1条東3-3,0136-22-1121,数値地図,42.901721,140.759037,
1401,共和町,きょうわちょう,共和町役場,048-2292,岩内郡共和町南幌似38-2,0135-73-2011,数値地図,42.980403,140.611239,
1402,岩内町,いわないちょう,岩内町役場,045-8555,岩内郡岩内町字高台134-1,0135-62-1011,Google Maps,42.979761,140.514773,
1403,泊村,とまりむら,泊村役場,045-0202,古宇郡泊村大字茅沼村字臼別191-7,0135-75-2021,数値地図,43.063029,140.49902,
1404,神恵内村,かもえないむら,神恵内村役場,045-0301,古宇郡神恵内村大字神恵内村81-4,0135-76-5011,数値地図,43.143879,140.430826,
1405,積丹町,しゃこたんちょう,積丹町役場,046-0292,積丹郡積丹町大字美国町字船澗48,0135-44-2111,数値地図,43.299064,140.598331,
1406,古平町,ふるびらちょう,古平町役場,046-0192,古平郡古平町大字浜町40-4,0135-42-2181,数値地図,43.265484,140.638941,
1407,仁木町,にきちょう,仁木町役場,048-2492,余市郡仁木町西町1-36-1,0135-32-2511,数値地図,43.154638,140.764132,
1408,余市町,よいちちょう,余市町役場,046-8546,余市郡余市町朝日町26,0135-21-2111,数値地図,43.195329,140.783572,
1409,赤井川村,あかいがわむら,赤井川村役場,046-0592,余市郡赤井川村字赤井川74-2,0135-34-6211,数値地図,43.083537,140.813577,
1423,南幌町,なんぽろちょう,南幌町役場,069-0292,空知郡南幌町栄町3-2-1,011-378-2121,数値地図,43.063704,141.650257,
1424,奈井江町,ないえちょう,奈井江町役場,079-0392,空知郡奈井江町字奈井江11,0125-65-2111,数値地図,43.425311,141.882888,
1425,上砂川町,かみすながわちょう,上砂川町役場,073-0292,空知郡上砂川町中央北1条5丁目1-7,0125-62-2011,数値地図画像,43.48267,141.984078,
1427,由仁町,ゆにちょう,由仁町役場,069-1292,夕張郡由仁町新光200,0123-83-2111,数値地図,42.999549,141.790359,
1428,長沼町,ながぬまちょう,長沼町役場,069-1392,夕張郡長沼町中央北1-1-1,0123-88-2111,数値地図,43.010378,141.695396,
1429,栗山町,くりやまちょう,栗山町役場,069-1512,夕張郡栗山町松風3-252,0123-72-1111,数値地図,43.056292,141.784163,
1430,月形町,つきがたちょう,月形町役場,061-0592,樺戸郡月形町1219,0126-53-2321,数値地図,43.338397,141.669604,
1431,浦臼町,うらうすちょう,浦臼町役場,061-0692,樺戸郡浦臼町字ウラウスナイ183-15,0125-68-2111,数値地図,43.430447,141.818919,
1432,新十津川町,しんとつかわちょう,新十津川町役場,073-1103,樺戸郡新十津川町字中央301-1,0125-76-2131,数値地図,43.548492,141.877073,
1433,妹背牛町,もせうしちょう,妹背牛町役場,079-0592,雨竜郡妹背牛町字妹背牛5200,0164-32-2411,数値地図,43.70034,141.962058,
1434,秩父別町,ちっぷべつちょう,秩父別町役場,078-2192,雨竜郡秩父別町4101,0164-33-2111,数値地図,43.766999,141.958499,
1436,雨竜町,うりゅうちょう,雨竜町役場,078-2692,雨竜郡雨竜町字フシコウリウ104,0125-77-2211,数値地図,43.643954,141.889012,
1437,北竜町,ほくりゅうちょう,北竜町役場,078-2512,雨竜郡北竜町字和11-1,0164-34-2111,数値地図,43.731472,141.879147,
1438,沼田町,ぬまたちょう,沼田町役場,078-2202,雨竜郡沼田町南1条3-6-53,0164-35-2111,数値地図,43.806744,141.933443,
1452,鷹栖町,たかすちょう,鷹栖町役場,071-1292,上川郡鷹栖町南1条3丁目5番1号,0166-87-2111,数値地図,43.84331,142.354403,
1453,東神楽町,ひがしかぐらちょう,東神楽町役場,071-1592,上川郡東神楽町南1条西1丁目3-2,0166-83-2111,数値地図,43.696276,142.451653,
1454,当麻町,とうまちょう,当麻町役場,078-1393,上川郡当麻町3条東2丁目11-1,0166-84-2111,数値地図,43.828123,142.508418,
1455,比布町,ぴっぷちょう,比布町役場,078-0392,上川郡比布町北町1-2-1,0166-85-2111,数値地図,43.875006,142.477695,
1456,愛別町,あいべつちょう,愛別町役場,078-1492,上川郡愛別町字本町179,01658-6-5111,数値地図,43.906561,142.578073,
1457,上川町,かみかわちょう,上川町役場,078-1753,上川郡上川町南町180,01658-2-1211,数値地図,43.847102,142.77045,
1458,東川町,ひがしかわちょう,東川町役場,071-1492,上川郡東川町東町1-16-1,0166-82-2111,数値地図,43.698916,142.510091,
1459,美瑛町,びえいちょう,美瑛町役場,071-0292,上川郡美瑛町本町4-6-1,0166-92-1111,数値地図,43.588315,142.467074,
1460,上富良野町,かみふらのちょう,上富良野町役場,071-0596,空知郡上富良野町大町2-2-11,0167-45-6400,数値地図,43.455578,142.467164,
1461,中富良野町,なかふらのちょう,中富良野町役場,071-0795,空知郡中富良野町本町9-1,0167-44-2122,数値地図画像,43.405785,142.425152,
1462,南富良野町,みなみふらのちょう,南富良野町役場,079-2402,空知郡南富良野町字幾寅867,0167-52-2112,数値地図,43.164085,142.568365,
1463,占冠村,しむかっぷむら,占冠村役場,079-2201,勇払郡占冠村字中央,0167-56-2121,数値地図,42.979878,142.398532,
1464,和寒町,わっさむちょう,和寒町役場,098-0192,上川郡和寒町字西町120,0165-32-2421,数値地図,44.023154,142.413358,
1465,剣淵町,けんぶちちょう,剣淵町役場,098-0392,上川郡剣淵町仲町37-1,0165-34-2121,数値地図画像,44.095768,142.361253,
1468,下川町,しもかわちょう,下川町役場,098-1206,上川郡下川町幸町63,01655-4-2511,数値地図,44.302575,142.635238,
1469,美深町,びふかちょう,美深町役場,098-2252,中川郡美深町字西町18,01656-2-1611,数値地図,44.48099,142.34303,
1470,音威子府村,おといねっぷむら,音威子府村役場,098-2501,中川郡音威子府村字音威子府444-1,01656-5-3311,数値地図,44.724931,142.262022,
1471,中川町,なかがわちょう,中川町役場,098-2892,中川郡中川町字中川337,01656-7-2811,数値地図,44.811332,142.07134,
1472,幌加内町,ほろかないちょう,幌加内町役場,074-0492,雨竜郡幌加内町字幌加内4699,0165-35-2121,数値地図,44.009812,142.153828,
1481,増毛町,ましけちょう,増毛町役場,077-0292,増毛郡増毛町弁天町3-61,0164-53-1111,数値地図,43.856032,141.525197,
1482,小平町,おびらちょう,小平町役場,078-3392,留萌郡小平町字小平町216,0164-56-2111,数値地図,44.015157,141.662844,
1483,苫前町,とままえちょう,苫前町役場,078-3792,苫前郡苫前町字旭37-1,0164-64-2211,数値地図,44.306095,141.653022,
1484,羽幌町,はぼろちょう,羽幌町役場,078-4198,苫前郡羽幌町南町1-1,0164-62-1211,数値地図,44.360701,141.697458,
1485,初山別村,しょさんべつむら,初山別村役場,078-4492,苫前郡初山別村字初山別96-1,0164-67-2211,数値地図,44.531934,141.766495,
1486,遠別町,えんべつちょう,遠別町役場,098-3543,天塩郡遠別町字本町3-37,01632-7-2111,数値地図,44.722278,141.792177,
1487,天塩町,てしおちょう,天塩町役場,098-3398,天塩郡天塩町新栄通8丁目,01632-2-1001,数値地図,44.888313,141.745366,
1511,猿払村,さるふつむら,猿払村役場,098-6232,宗谷郡猿払村鬼志別西町172-1,01635-2-3131,数値地図,45.330577,142.108889,
1512,浜頓別町,はまとんべつちょう,浜頓別町役場,098-5792,枝幸郡浜頓別町中央南1,01634-2-2345,数値地図画像,45.123993,142.359577,
1513,中頓別町,なかとんべつちょう,中頓別町役場,098-5595,枝幸郡中頓別町字中頓別172-6,01634-6-1111,数値地図画像,44.969757,142.286594,
1514,枝幸町,えさしちょう,枝幸町役場,098-5892,枝幸郡枝幸町本町916,0163-62-1234,数値地図,44.938836,142.581257,
1516,豊富町,とよとみちょう,豊富町役場,098-4110,天塩郡豊富町大通6丁目,0162-82-1001,数値地図画像,45.102864,141.777537,
1517,礼文町,れぶんちょう,礼文町役場,097-1201,礼文郡礼文町大字香深村字トンナイ558-5,0163-86-1001,数値地図,45.303877,141.047458,
1518,利尻町,りしりちょう,利尻町役場,097-0401,利尻郡利尻町沓形字緑町14-1,0163-84-2345,数値地図,45.186976,141.13968,
1519,利尻富士町,りしりふじちょう,利尻富士町役場,097-0101,利尻郡利尻富士町鴛泊字富士野6,0163-82-1111,数値地図,45.247473,141.214726,
1520,幌延町,ほろのべちょう,幌延町役場,098-3207,天塩郡幌延町宮園町1番地,01632-5-1111,数値地図,45.017716,141.849403,
1543,美幌町,びほろちょう,美幌町役場,092-8650,網走郡美幌町字東2条北2-25,0152-73-1111,数値地図,43.823729,144.107177,
1544,津別町,つべつちょう,津別町役場,092-0292,網走郡津別町字幸町41,0152-76-2151,数値地図,43.706323,144.024801,
1545,斜里町,しゃりちょう,斜里町役場,099-4192,斜里郡斜里町本町12,0152-23-3131,数値地図,43.911426,144.670763,
1546,清里町,きよさとちょう,清里町役場,099-4492,斜里郡清里町羽衣町13,0152-25-2131,数値地図,43.835182,144.594523,
1547,小清水町,こしみずちょう,小清水町役場,099-3698,斜里郡小清水町字小清水217-1,0152-62-2311,Google Maps,43.85672,144.462121,
1549,訓子府町,くんねっぷちょう,訓子府町役場,099-1498,常呂郡訓子府町東町398,0157-47-2111,数値地図,43.725535,143.741602,
1550,置戸町,おけとちょう,置戸町役場,099-1100,常呂郡置戸町字置戸181,0157-52-3311,数値地図,43.676314,143.586391,
1552,佐呂間町,さろまちょう,佐呂間町役場,093-0502,常呂郡佐呂間町字永代町3-1,01587-2-1213,数値地図,44.017808,143.77478,
1555,遠軽町,えんがるちょう,遠軽町役場,099-0492,紋別郡遠軽町1条通北3-1-1,0158-42-4811,数値地図,44.061714,143.528019,
1559,湧別町,ゆうべつちょう,湧別町役場,099-6592,紋別郡湧別町上湧別屯田市街地318,01586-2-2111,数値地図,44.151484,143.572955,
1560,滝上町,たきのうえちょう,滝上町役場,099-5692,紋別郡滝上町字滝ノ上市街地4条通2-1,0158-29-2111,数値地図,44.192186,143.077654,
1561,興部町,おこっぺちょう,興部町役場,098-1692,紋別郡興部町字興部710,0158-82-2131,Google Maps,44.470114,143.123512,
1562,西興部村,にしおこっぺむら,西興部村役場,098-1501,紋別郡西興部村字西興部100,0158-87-2111,数値地図,44.328778,142.944461,
1563,雄武町,おうむちょう,雄武町役場,098-1792,紋別郡雄武町本町,0158-84-2121,数値地図,44.58247,142.96186,
1564,大空町,おおぞらちょう,大空町役場,099-2392,網走郡大空町女満別西3条4丁目1-1,0152-74-2111,数値地図,43.911858,144.172473,
1571,豊浦町,とようらちょう,豊浦町役場,049-5492,虻田郡豊浦町字船見町10,0142-83-2121,数値地図,42.583449,140.711921,
1575,壮瞥町,そうべつちょう,壮瞥町役場,052-0101,有珠郡壮瞥町字滝之町287-7,0142-66-2121,Google Maps,42.552385,140.886031,
1578,白老町,しらおいちょう,白老町役場,059-0995,白老郡白老町大町1-1-1,0144-82-2121,数値地図,42.551109,141.355788,
1581,厚真町,あつまちょう,厚真町役場,059-1692,勇払郡厚真町京町120,0145-27-2321,数値地図,42.722973,141.878173,
1584,洞爺湖町,とうやこちょう,洞爺湖町役場,049-5692,虻田郡洞爺湖町栄町58,0142-76-2121,数値地図,42.551458,140.764445,
1585,安平町,あびらちょう,安平町役場,059-1595,勇払郡安平町早来大町95,0145-22-2511,数値地図,42.762829,141.818092,
1586,むかわ町,むかわちょう,むかわ町役場,054-8660,勇払郡むかわ町美幸2-88,0145-42-2411,数値地図画像,42.574655,141.926905,
1601,日高町,ひだかちょう,日高町役場,059-2192,沙流郡日高町門別本町210-1,01456-2-5131,数値地図画像,42.480356,142.074652,
1602,平取町,びらとりちょう,平取町役場,055-0192,沙流郡平取町本町28,01457-2-2221,数値地図,42.585164,142.1288,
1604,新冠町,にいかっぷちょう,新冠町役場,059-2492,新冠郡新冠町字北星町3-2,0146-47-2111,数値地図,42.362416,142.318487,
1607,浦河町,うらかわちょう,浦河町役場,057-8511,浦河郡浦河町築地1-3-1,0146-22-2311,数値地図,42.168563,142.768387,
1608,様似町,さまにちょう,様似町役場,058-8501,様似郡様似町大通1-21,0146-36-2111,数値地図,42.127797,142.933875,
1609,えりも町,えりもちょう,えりも町役場,058-0292,幌泉郡えりも町字本町206,01466-2-2111,数値地図,42.016235,143.148779,
1610,新ひだか町,しんひだかちょう,新ひだか町役場,056-8650,日高郡新ひだか町静内御幸町3丁目2-50,0146-43-2111,数値地図,42.341281,142.368346,
1631,音更町,おとふけちょう,音更町役場,080-0198,河東郡音更町元町2,0155-42-2111,数値地図,42.994154,143.198017,
1632,士幌町,しほろちょう,士幌町役場,080-1200,河東郡士幌町字士幌225,01564-5-2211,数値地図,43.168191,143.241088,
1633,上士幌町,かみしほろちょう,上士幌町役場,080-1492,河東郡上士幌町字上士幌東3線238,01564-2-2111,数値地図,43.232659,143.296219,
1634,鹿追町,しかおいちょう,鹿追町役場,081-0292,河東郡鹿追町東町1-15-1,0156-66-2311,数値地図,43.099162,142.988807,
1635,新得町,しんとくちょう,新得町役場,081-8501,上川郡新得町3条南4-26,0156-64-5111,数値地図,43.079799,142.83882,
1636,清水町,しみずちょう,清水町役場,089-0192,上川郡清水町南4条2-2,0156-62-2111,数値地図,43.011059,142.884764,
1637,芽室町,めむろちょう,芽室町役場,082-8651,河西郡芽室町東2条2-14,0155-62-9721,Google Maps,42.911891,143.050841,
1638,中札内村,なかさつないむら,中札内村役場,089-1392,河西郡中札内村大通南2-3,0155-67-2311,数値地図,42.697185,143.132568,
1639,更別村,さらべつむら,更別村役場,089-1595,河西郡更別村字更別南1線93,0155-52-2111,数値地図,42.649998,143.188148,
1641,大樹町,たいきちょう,大樹町役場,089-2195,広尾郡大樹町東本通33,01558-6-2111,数値地図,42.497517,143.278871,
1642,広尾町,ひろおちょう,広尾町役場,089-2692,広尾郡広尾町西4条7-1,01558-2-2111,数値地図,42.285987,143.311687,
1643,幕別町,まくべつちょう,幕別町役場,089-0692,中川郡幕別町本町130-1,0155-54-2111,数値地図,42.908198,143.356063,
1644,池田町,いけだちょう,池田町役場,083-8650,中川郡池田町西1条7-11,015-572-3111,数値地図,42.929032,143.448496,
1645,豊頃町,とよころちょう,豊頃町役場,089-5392,中川郡豊頃町茂岩本町125,015-574-2211,数値地図,42.801021,143.505862,
1646,本別町,ほんべつちょう,本別町役場,089-3392,中川郡本別町北2-4-1,0156-22-2141,数値地図,43.124459,143.610556,
1647,足寄町,あしょろちょう,足寄町役場,089-3797,足寄郡足寄町北1条4-48-1,0156-25-2141,数値地図,43.244581,143.551971,
1648,陸別町,りくべつちょう,陸別町役場,089-4311,足寄郡陸別町字陸別東1条3-1,0156-27-2141,数値地図,43.468897,143.747307,
1649,浦幌町,うらほろちょう,浦幌町役場,089-5692,十勝郡浦幌町字桜町15-6,015-576-2111,数値地図,42.808941,143.658628,
1661,釧路町,くしろちょう,釧路町役場,088-0692,釧路郡釧路町別保1-1,0154-62-2111,数値地図,42.99617,144.466012,
1662,厚岸町,あっけしちょう,厚岸町役場,088-1192,厚岸郡厚岸町真栄3丁目1番地,0153-52-3131,数値地図,43.051953,144.847504,
1663,浜中町,はまなかちょう,浜中町役場,088-1592,厚岸郡浜中町霧多布東4条1-35-1,0153-62-2111,数値地図,43.0771,145.129421,
1664,標茶町,しべちゃちょう,標茶町役場,088-2312,川上郡標茶町川上4-2,015-485-2111,数値地図,43.30336,144.600681,
1665,弟子屈町,てしかがちょう,弟子屈町役場,088-3292,川上郡弟子屈町中央2-3-1,015-482-2191,数値地図,43.485389,144.459073,
1667,鶴居村,つるいむら,鶴居村役場,085-1203,阿寒郡鶴居村鶴居西1-1,0154-64-2111,数値地図,43.229775,144.321071,
1668,白糠町,しらぬかちょう,白糠町役場,088-0392,白糠郡白糠町西1条南1-1-1,01547-2-2171,数値地図,42.956132,144.071749,
1691,別海町,べつかいちょう,別海町役場,086-0205,野付郡別海町別海常盤町280,0153-75-2111,数値地図,43.394114,145.117437,
1692,中標津町,なかしべつちょう,中標津町役場,086-1197,標津郡中標津町丸山2-22,0153-73-3111,数値地図,43.555172,144.971444,
1693,標津町,しべつちょう,標津町役場,086-1632,標津郡標津町北2条西1-1-3,0153-82-2131,数値地図,43.661331,145.131313,
1694,羅臼町,らうすちょう,羅臼町役場,086-1892,目梨郡羅臼町栄町100-83,0153-87-2111,数値地図,44.021897,145.189466,
2000,青森県,あおもりけん,青森県庁,030-8570,青森市長島1-1-1,017-722-1111,数値地図,40.824338,140.740087,
2201,青森市,あおもりし,青森市役所,030-8555,青森市中央1-22-5,017-734-1111,数値地図,40.822116,140.747587,
2202,弘前市,ひろさきし,弘前市役所,036-8551,弘前市大字上白銀町1-1,0172-35-1111,数値地図,40.602965,140.464008,
2203,八戸市,はちのへし,八戸市役所,031-8686,八戸市内丸1-1-1,0178-43-2111,数値地図,40.511892,141.489479,
2204,黒石市,くろいしし,黒石市役所,036-0396,黒石市大字市ノ町11-1,0172-52-2111,数値地図,40.642687,140.594551,
2205,五所川原市,ごしょがわらし,五所川原市役所,037-8686,五所川原市字岩木町12,0173-35-2111,数値地図,40.807943,140.440112,
2206,十和田市,とわだし,十和田市役所,034-8615,十和田市西十二番町6-1,0176-23-5111,数値地図,40.612705,141.205891,
2207,三沢市,みさわし,三沢市役所,033-8666,三沢市桜町1-1-38,0176-53-5111,数値地図,40.683259,141.368929,
2208,むつ市,むつし,むつ市役所,035-8686,むつ市中央1丁目8-1,0175-22-1111,Google Maps,41.292734,141.183459,
2209,つがる市,つがるし,つがる市役所,038-3192,つがる市木造若緑61-1,0173-42-2111,数値地図,40.808775,140.380117,
2210,平川市,ひらかわし,平川市役所,036-0104,平川市柏木町藤山25-6,0172-44-1111,数値地図,40.584083,140.5665,
2301,平内町,ひらないまち,平内町役場,039-3393,東津軽郡平内町大字小湊字小湊63,017-755-2111,数値地図,40.926,140.956175,
2303,今別町,いまべつまち,今別町役場,030-1502,東津軽郡今別町大字今別字今別167,0174-35-2001,数値地図,41.182071,140.481482,
2304,蓬田村,よもぎたむら,蓬田村役場,030-1211,東津軽郡蓬田村大字蓬田字汐越1-3,0174-27-2111,数値地図,40.971819,140.655921,
